#EMFAC2017 (v1.0.2) Emissions Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Region Type: County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Region: ALAMEDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Calendar Year: 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Season: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Vehicle Classification: EMFAC2007 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Units: miles/day for VMT, trips/day for Trips, tons/day for Emissions, 1000 gallons/day for Fuel Consumption",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,VMT,Trips,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HTSK,ROG_RUNLS,ROG_RESTL,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HTSK,TOG_RUNLS,TOG_RESTL,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,PM2_5_RUNEX,PM2_5_IDLEX,PM2_5_STREX,PM2_5_TOTEX,PM2_5_PMTW,PM2_5_PMBW,PM2_5_TOTAL,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,Fuel Consumption
ALAMEDA,2001,HHDT,Aggregated,Aggregated,GAS,165.2368374,13271.69328,3306.058642,0.050659643,0,0,0.050659643,2.95891E-05,0.003209268,0.018442222,1.35253E-05,0.072354248,0.059228709,0,0,0.059228709,2.95891E-05,0.003223091,0.018521658,1.35253E-05,0.081016574,1.347618795,0,0.015010727,1.362629521,0.225410976,0,0.001909701,0.227320678,35.62928437,0,0.396679857,36.02596423,0.00663219,0,0,0.00663219,0.000114315,0,2.83828E-05,0.000142698,0.000292591,0.000903228,0.001338516,0.000107113,0,2.69904E-05,0.000134103,7.31477E-05,0.000387098,0.000594348,0.000502255,0,5.59187E-06,0.000507846,0.005485787,0,9.69916E-05,0.005582779,3.693354543
ALAMEDA,2001,HHDT,Aggregated,Aggregated,DSL,8886.962642,1403935.024,90071.06127,2.688919097,0.220910664,0,2.909829761,0,0,0,0,2.909829761,3.061129708,0.251489974,0,3.312619682,0,0,0,0,3.312619682,7.32669208,0.801413871,0,8.12810595,35.1177767,1.600929072,0,36.71870578,2871.885186,104.3026333,0,2976.187819,0.124893328,0.010260728,0,0.135154056,1.296354076,0.037825926,0,1.334180002,0.055018638,0.094356965,1.483555605,1.240274372,0.036189593,0,1.276463966,0.01375466,0.040438699,1.330657324,0.252569809,0.009172963,0,0.261742772,0.45023747,0.016351961,0,0.466589431,264.5518328
ALAMEDA,2001,HHDT,Aggregated,Aggregated,NG,1.83005122,99.9570959,7.137199758,0.000288027,1.6339E-06,0,0.000289661,0,0,0,0,0.000289661,0.001957659,1.11053E-05,0,0.001968764,0,0,0,0,0.001968764,0.000102086,5.9283E-05,0,0.000161369,0.004086432,0.000146964,0,0.004233397,0.362916548,0.009183563,0,0.37210011,0.001622519,9.20412E-06,0,0.001631723,7.635E-06,1.91426E-06,0,9.54926E-06,3.96662E-06,6.80275E-06,2.03186E-05,7.30472E-06,1.83145E-06,0,9.13617E-06,9.91655E-07,2.91546E-06,1.30433E-05,0,0,0,0,7.4895E-05,1.89521E-06,0,7.67902E-05,0.043539347
ALAMEDA,2001,LDA,Aggregated,Aggregated,GAS,608466.7771,22233485.04,2848058.37,5.364298834,0,4.833477867,10.1977767,0.650183212,1.435443355,5.863612627,0.361543797,18.50855969,6.394004041,0,5.167245924,11.56124997,0.650183433,1.441626216,5.888868867,0.36154392,19.9034724,125.6141343,0,24.0897032,149.7038375,17.61186352,0,3.007338929,20.61920245,8676.99219,0,276.8719456,8953.864136,0.904072458,0,0.809359954,1.713432412,0.22591226,0,0.036258164,0.262170424,0.196065776,0.90067716,1.35891336,0.208316272,0,0.033515439,0.241831711,0.049016444,0.386004497,0.676852652,0.122316762,0,0.003902975,0.126219737,1.049792199,0,0.201008402,1.250800601,917.9433635
ALAMEDA,2001,LDA,Aggregated,Aggregated,DSL,4172.471718,96389.94159,17406.42248,0.034949962,0,0,0.034949962,0,0,0,0,0.034949962,0.039788208,0,0,0.039788208,0,0,0,0,0.039788208,0.190808905,0,0,0.190808905,0.180021548,0,0,0.180021548,37.02694685,0,0,37.02694685,0.001623359,0,0,0.001623359,0.028014413,0,0,0.028014413,0.000850014,0.003904751,0.032769178,0.026802522,0,0,0.026802522,0.000212503,0.001673465,0.02868849,0.003258459,0,0,0.003258459,0.00580487,0,0,0.00580487,3.291306613
ALAMEDA,2001,LDA,Aggregated,Aggregated,ELEC,61.84302685,1686.881894,289.1891446,0,0,0,0,9.89814E-07,1.56358E-06,0,2.76293E-07,2.82968E-06,0,0,0,0,9.89814E-07,1.57031E-06,0,2.76293E-07,2.83642E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48758E-05,6.83355E-05,8.32112E-05,0,0,0,0,3.71894E-06,2.92866E-05,3.30056E-05,0,0,0,0,0,0,0,0,0
ALAMEDA,2001,LDT1,Aggregated,Aggregated,GAS,99489.00315,3407307.205,453158.4763,1.420863568,0,0.87593691,2.296800478,0.135497793,0.331709749,1.295541392,0.081309209,4.140858621,1.653432184,0,0.937113095,2.590545279,0.135497839,0.333138517,1.301121655,0.081309237,4.441612527,34.50761331,0,4.852923696,39.36053701,4.638780877,0,0.600146311,5.238927188,1527.524577,0,51.58723299,1579.11181,0.215796274,0,0.141118182,0.356914456,0.045512979,0,0.006807449,0.052320429,0.030047306,0.138029813,0.220397548,0.04209892,0,0.006313086,0.048412006,0.007511827,0.059155634,0.115079467,0.021533022,0,0.000727209,0.02226023,0.232930532,0,0.034009527,0.26694006,161.8893457
ALAMEDA,2001,LDT1,Aggregated,Aggregated,DSL,216.450594,5338.601829,901.4990214,0.001812523,0,0,0.001812523,0,0,0,0,0.001812523,0.002063437,0,0,0.002063437,0,0,0,0,0.002063437,0.010658684,0,0,0.010658684,0.009662692,0,0,0.009662692,2.511997071,0,0,2.511997071,8.41882E-05,0,0,8.41882E-05,0.001524757,0,0,0.001524757,4.70784E-05,0.000216266,0.001788102,0.001458797,0,0,0.001458797,1.17696E-05,9.26856E-05,0.001563252,0.000221062,0,0,0.000221062,0.000393816,0,0,0.000393816,0.223290152
ALAMEDA,2001,LDT1,Aggregated,Aggregated,ELEC,10.62927024,286.1422381,49.57463617,0,0,0,0,1.70124E-07,2.68038E-07,0,4.74878E-08,4.8565E-07,0,0,0,0,1.70124E-07,2.69193E-07,0,4.74878E-08,4.86805E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52334E-06,1.15916E-05,1.41149E-05,0,0,0,0,6.30836E-07,4.96783E-06,5.59867E-06,0,0,0,0,0,0,0,0,0
ALAMEDA,2001,LDT2,Aggregated,Aggregated,GAS,140513.1548,5683081.611,675994.5191,1.321982642,0,1.194950726,2.516933369,0.110772996,0.233210061,0.930711103,0.058387879,3.850015408,1.576515425,0,1.277021211,2.853536636,0.110773033,0.234214563,0.934719939,0.058387899,4.191632071,34.11550322,0,6.47001703,40.58552025,6.849800368,0,1.25809385,8.107894218,3026.786598,0,84.8040152,3111.590614,0.222694136,0,0.203089645,0.425783781,0.046611395,0,0.006554323,0.053165718,0.050116201,0.230221299,0.333503218,0.043013637,0,0.006058471,0.049072108,0.01252905,0.098666271,0.16026743,0.042667635,0,0.001195455,0.04386309,0.361078888,0,0.074186318,0.435265206,318.9979109
